,Zpravodajské hodnoty,,,,,Hlavní téma článku,Mediální rámce,,,,,,Mluvčí,,,,,,,,,,,
,Negativita negativity,Blízkost proximity,Elitní osoby prominence,Personalizace personalization,Dopad impact,"1) Vnitřní politické dění; 2) Mezinárodní politické reakce
3) Vojenské operace Izraele 4) Teroristické operace
5)  Dílčí konflikty a střety 
6) Dopad na civilisty a humanitární krize
7) Humanitární pomoc 8) Globální reakce veřejnosti
9) Jiné",Rámec konfliktu,Rámec budování míru,Humanitární rámec,Historicko-kulturní rámec,Geopolitický rámec,Lokální rámec,Političtí představitelé Izraele,Političtí představitelé Palestiny,Politici z blízkovýchodních zemí:,Politici ze západních zemí,Mezinárodní organizace,Vojenští představitelé Izraele,Představitelé teroristických skupin,Experti a analytici,Zástupci občanské společnosti,Očití svědci a civilisté.,Členové izraelské nebo palestinské diaspory v zahraničí a sympatizanti,Jiní
2023-10-07T00-00-00_2023WN280011.txt,1,,1,1,1,6,1,,,1,1,1,,,,,,,,,,,,
2023-10-08T21-44-00_2023WN281071.txt,1,,1,1,1,1,,,,1,,1,1,,,1,,,,,,,,
2023-10-10T09-37-00_2023WN283037.txt,,1,,,1,9,,,,,,,,,,,1,,,1,,,,
2023-10-10T21-42-00_2023WN283184.txt,1,,1,,1,8,1,,1,,1,,,,1,,,,1,,,,,
2023-10-12T11-53-00_2023WN285073.txt,1,,1,,,7,,1,1,,1,,,,,1,,,,,,,,
2023-10-13T14-43-00_2023WN286117.txt,1,,,1,1,6,,,,,,1,,,,,,,,,1,1,,
2023-10-16T11-16-00_2023WN289167.txt,1,,,,1,5,,,1,,1,1,,,,,1,,,,,,,
2023-10-18T12-16-00_2023WN291055.txt,1,,,1,1,4,,,,,,1,,,,,,,,1,,1,,
2023-10-20T07-25-00_2023WN293150.txt,1,,,1,,6,1,,,,,1,1,,,,,,1,,,1,,
2023-10-23T11-32-00_2023WN296073.txt,,1,,,1,6,,,,,1,,,,,1 (hejtman),,,,,1,,,
2023-10-25T00-00-00_2023WN298164.txt,,1,,,,9,,,,1,,,,,,,,,,,,,,
2023-10-27T00-00-00_2023WN300106.txt,1,,1,,1,2,1,,1,1,1,1,,,,1,,,1,,,,,
2023-10-30T00-00-00_2023WN303133.txt,1,1,1,,,9,1,,,,,,,,,,,,,,,,,
2023-11-01T10-32-00_2023WN305220.txt,1,,,1,1,4,1,,,,,1,,,,,,,1,,,,,1 (média)
2023-11-02T16-19-00_2023WN306162.txt,1,,1,1,,2,1,,,,1,,,,1,,,,,,,,,
2023-11-05T08-41-00_2023WN309011.txt,1,,,,1,3,,,,1,1,,,,,,,,,,1,,,
2023-11-07T09-27-00_2023WN311206.txt,1,,,1,,5,1,,,1,,1,,,,,1,,,,,,,
2023-11-09T14-32-00_2023WN313134.txt,1,1,1,1,1,5,1,,,1,,,,,,1,,,,1,,,,
2023-11-12T15-38-00_2023WN316094.txt,1,,1,1,1,6,,,,1,,1,,,,1,,,,,,,,
2023-11-14T16-19-00_2023WN318180.txt,1,,1,,,8,1,,,,1,,,,,1,,,,,,,,
